Accident ID,Event Type,Industry Type,Accident Description,Domino Effects,Natech Events,Transboundary Effects,Contractors,Release Major Occurrences,Release Initiating Event,Fire Major Occurences,Fire Initiating Events,Explosion Major Occurences,Explosion Initiating Events,Transport Major Occurences,Transport Initiating Events,Accident Description - Other,Substance Classification,Causes of the accident,Plant/Equipment Causative Factor Type,Human,Organizational Causative Factor Type,External Causes,Causes - Other,Theme of the Lessons Learned,Lesson Learned
1184,Major Accident,Chemical installations ,"The fire started in a warehouse for finished product (PTA Purified Terephthalic Acid and PIA ;Purified Isophthalic Acid ). When the fire started there were several workers inside the warehouse, three of them were the first responders to the fire.
The whole warehouse burned out. Structure, roof and walls collapsed. ;
Process units continued in operation in order to avoid further problems, due to possible unsafe stop conditions.",FALSE,FALSE,FALSE,FALSE,gas/vapour/mist/etc release to air,not known / not applicable,not known / not applicable,not known / not applicable,,,,,,H3. STOT SPECIFIC TARGET ORGAN TOXICITY,"In order to establish the cause of the fire, further fire debris analysis must be done. At this point there aren´t evidences of Investigations are under judicial proceeding","not known / not applicable
not identified",,,,,Emergency Response,"FIRE FIGHTING AND DETECTION SYSTEMS

Improvement of firefighting systems: sprinklers and others.
Evaluation of firefighting systems in other packaging areas in the plant.
Analysis the use of foam instead of water.

STAFF TRAINING

Improvement of training of second intervention team.
Exercises with staff of the refinery nearby.
Training of outsourced staff.

OTHER

Improvement of access in case of emergency.
Security cameras.
Report all incidents and minor accidents to 112 and make sure all the staffs knows direct telephone access to Emergency Coordination Center.
Prepare a room for official visits different from the emergency room.
"
1185,Other Event,"Processing of ferrous metals (foundries, smelting, etc.)","Vers 11h40, dans une usine sidérurgique, un jet enflammé de gaz de cokerie se produit lors du déplatinage d'une bride d'un des extracteurs de gaz de la cokerie. Le jet enflammé a lieu à la fin de travaux de maintenance sur 1 des 3 extracteurs de la cokerie.",FALSE,FALSE,FALSE,FALSE,"gas/vapour/mist/etc release to air
solid release to air",,jet flame (burning jet of fluid from orifice),,,,,,,"H1. ACUTE TOXIC cat. 1
P2. FLAMMABLE GASES cat. 1 or 2","Des travaux de maintenance, réalisés tous les 3 à 5 ans, ;avaient lieu depuis 2 semaines sur cet ;extracteur. Pendant les travaux, l'extracteur est isolé du gaz par deux tapes pleines (une en amont et une en aval) et deux vannes (en amont et en aval). La conduite de gaz a un diamètre de 1 ;400 mm. Un balayage à l'azote est assuré en permanence durant la phase de travaux. Les travaux étant terminés, la procédure de redémarrage des installations a été appliquée :

enlèvement de la tape pleine en aval (sortie de l'extracteur) : déboulonnage et fermeture de la conduite ;
puis enlèvement de la tape pleine en amont.

Ces deux opérations se font sous balayage d'azote. La fuite s'est produite lors de l'enlèvement de la deuxième tape, en amont. La pression d'azote n'était, semble-t-il, pas suffisante pour éviter une entrée de gaz dans la conduite. L'origine de l'inflammation serait électrostatique.","loss of process control
electrostatic accumulation",,,,,Causes - Organisational,L'exploitant prévoit d'améliorer sa procédure d'isolement des extracteurs pour les prochaines maintenances et de réviser l'étude de danger.
1186,Major Accident,Chemical installations ,"There was a fire in a storage area for packaged products (200-litre drums, 1,000-litre intermediate bulk containers IBC, pallets) in a plant producing additives for oils and lubricants, classified as an ‘upper-tier Seveso establishment’. It has not yet been possible to determine the origin and exact location of the fire. A judicial investigation and an administrative inquiry are still under way to determine, in particular, where the fire started: whether at the Seveso site or at a neighbouring storage company. Two neighbouring industrial sites suffered damage (a waste treatment plant and a warehousing company). A total of 9,511 tonnes of products were burned in the fire (5,253 tonnes of products on the Seveso site and 4,258 tonnes in neighbouring warehouses). A significant plume of smoke outside the site (22 km long and 6 km wide) travelled as far as the Rouen city centre, the north of France and was observed in Belgium and the Netherlands. Local residents experienced a nauseating stench, with some of them reporting throat irritation, a headaches and vomiting. The operator was unable to contain all of the extinguishing water and combustion products, part of which ended up in the River Seine, despite the installation of floating barriers.",TRUE,FALSE,TRUE,FALSE,"gas/vapour/mist/etc release to air
fluid release to ground
fluid release to water
solid release to air
solid release to ground
solid release to water",,,,,,,,,"P2. FLAMMABLE GASES cat. 1 or 2
E1. Hazardous to the Aquatic Environment cat. Acute 1 or Chronic 1
E2. Hazardous to the Aquatic Environment cat. Chronic 2
00. NAMED SUBSTANCE",The starting point and origin of the fire are not yet known. A judicial investigation and an administrative inquiry are under way.,"not known / not applicable
not identified","not known / not applicable
not identified","not known / not applicable
not identified","not known / not applicable
not identified",,Other,Pending the outcome of the ;investigation
1187,Near Miss,Processing of metals using electrolytic or chemical processes,"On 20 April 2019 during the night shift, rinse water accumulated in the collecting basin and was transferred into the underground sewer, where the technical service found a pool measuring approximately 1 m².The fluid leaked from a gap in the tiles of the sewer wall.
The technical service immediately passed on this information to the on-site fire brigade. The fluid leakage stopped when the rinse water transfer sequence was terminated.
The technical service informed the electroplating foreman after Easter Weekend (23 April 2019). As an immediate measure, staff members were informed that accumulation of fluids in the acid receptacle was no longer permitted.
On 12 June 2019, there was leakage once again when a hydrochloric acid pipeline that runs through the acid receptacle began to leak.It was determined that the acid was leaking from another spot in the acid receptacle. A gap in the faulty joint measuring approximately 0.5 cm was discovered therein. The joint was sealed with special adhesive on 13 June 2019.
Safety measure:A notification was received from the sump in the underground sewer, and as a result, staff members from the technical service carried out a visual inspection during a patrol of the underground sewer, and the transfer of rinse water was stopped.",FALSE,FALSE,FALSE,FALSE,fluid release to ground,,,,,,,,,H2. ACUTE TOXIC  cat. 2 or 3 (n. 7),"On 20 April 2019, leaks from a joint in the acid receptacle or a crack in the wall of the receptacle were suspected. The specific location of the leak however was not discovered until 12 June 2019 with the leakage of hydrochloric acid. There was a piece of a joint that had broken away.
The cause of this was likely ageing, i.e. material fatigue.
Opinion:The collecting basin, which dates from 1966, appears to be ageing to such an extent that, due to deterioration and fatigue, its containment capabilities must be called into question altogether. This however cannot be verified (as the majority of the collecting basin is below ground and inaccessible).
The flaw in the joint or the wall only became apparent during a patrol of the underground sewer, the only area that is accessible.",corrosion/fatigue,,,,,"Causes - Plant/Equipment
Causes - Organisational","
Immediate restoration of the functionality of the acid receptacle;
Description of how to approach a possible malfunctioning of the acid receptacle in the safety report;
Adjustment of the acid receptacle’s method of operation (more direct transfer of rinse water in pipes to the underground sewer, accumulation of fluids in the acid receptacle no longer necessary).

Functionality of the acid receptacle is sufficient."
1190,Major Accident,Chemical installations ,"On 8 June 2019, a secondary reaction initiated by the addition of peroxide resulted in foaming of the mixture in a reactor vessel. The workers noticed that the mixture was behaving peculiarly, i.e. the manometer on the reactor vessel was showing a sharp increase in pressure. The shift supervisor was informed. He immediately called the emergency services.Duration of the incident: 10 minutes.
The planned addition of the secondary initiator led to an increase in pressure and temperature in the reactor vessel and then to the release of pressure via the rupture disc into a catch tank (with a volume approximately 2.5 times that of the reactor vessel) and then, in turn, to a release of pressure into the atmosphere via a rupture disc in the catch tank. The triggering of the rupture disc was signalled in the process control system. Approximately 5,500 ;kg of ethyl acetate escaped and evaporated, carrying with it product components in the form of droplets. An area of approximately 60,000 ;m² to the north of the factory site was contaminated. As the substance is not water-soluble, no water pollution (through rain) has taken place. Nobody was injured.
Safety measures:Excessive pressure in the reactor vessel is released by means of a safety valve and rupture disc through a pipe into a catch tank. Excessive pressure in the catch tank is, in turn, released into the atmosphere by means of a safety valve and rupture disc.",FALSE,FALSE,FALSE,FALSE,gas/vapour/mist/etc release to air,,,,,,,,,P5c. FLAMMABLE LIQUIDS cat. 2 or 3 not covered by P5a and P5b,"Subsequent reconstruction established that there had been a mix-up with the tanks at the start of the procedure when preparing the solid peroxide, which first had to be dissolved in ethyl acetate. Workers on the early shift correctly put the ethyl acetate solvent into holding tank 1, but incorrectly put the solid peroxide into holding tank 2. It should also have been put into holding tank 1. Consequently, no reaction occurred. Workers on the following shift checked holding tank 1 to see whether the peroxide had dissolved. However, it was not possible to tell from a mere visual inspection that the tank contained only liquid ethyl acetate. As a result, the product batch did not achieve full conversion as expected, which meant that, when the peroxide for the secondary reaction was added, the conversion suddenly took place more vigorously than expected, with the effects described above.",,operator error,,,,"Causes - Plant/Equipment
Causes - Organisational","Expert recommendations:

Clear labelling of the reactor vessel tanks.
Harmonisation of the labelling on site with the production specifications, the batch protocols and the process control system (PCS); harmonisation with other plant documentation.
Training workers to apply the ‘second pair of eyes’ principle; differentiation between critical dosages/additions (checked by the shift supervisor in accordance with the ‘second pair of eyes’ principle) and less critical dosages/additions (checked by two shift workers in accordance with the ‘second pair of eyes’ principle), with documentation of this by the plant manager/production manager in the production specifications/batch protocols.
Bolting shut any unused manholes/handholes on the tanks.
Dispensing is to stop automatically if it is not confirmed by a worker that the reaction has started.
Setting out the criteria in the production specifications/batch protocols for determining whether the reaction has started.
As with the reactor vessel, the start of the reaction should be shown in the PCS.
Assessing the accumulation of pressure during the course of the reaction in order to ensure that the rupture discs are of a sufficient size (maximum accumulation of 15%); reviewing existing procedures; for new procedures before the Research &amp; Development Department starts production.
In the short term, implementing an automatic trigger for the addition of an inhibitor.
Modifying the catch tank.
Installing a cyclone separator downstream of the catch tank.
Reviewing and evaluating the catch tank with a view to optimisation; implementing any necessary improvements.
Reviewing and revising the production specifications and the batch protocols.Risk analyses (HAZOP) for defined reference procedures to define requirements for process control technology and safety-oriented controls.
Drafting and implementing instructions for identification of key safety data for new procedures by the Research &amp; Development Department before production starts, as well as determining the responsibilities and other content.
Risk analyses should be carried out before new production procedures become operational in the production process; instructions setting out actions and responsibilities should be drawn up and implemented.
As part of the HAZOP studies and the revision of the explosion protection document, the issue of “adding a solid to a container of flammable liquid” should be considered and safeguards should be put in place. These should also be implemented for existing procedures. The explosion protection document should be revised.

Additional measures taken by the operator:

 ;Safety data sheets are stored on the intranet.
A brief overview of safety data sheets for new raw materials is provided in the Health, Safety, Environment (HSE) / Corporate Social Responsibility (CSR) software.
The tasks of the shift supervisors are being redefined.

Optimisation of the catch tank with regard to separation of the liquid/gaseous phases."
1191,Near Miss,Chemical installations ,"Removal of a pallet of ethylenediamine (EDA) in metal drums, during which a metal drum was damaged by a forklift truck. This resulted in EDA leaking onto a ‘WHG surface’ (a surface compliant with the requirements of the Federal Water Act [Wasserhaushaltsgesetz – WHG]) and forming a localised pool of liquid. Vapour clouds then formed due to the immediate reaction of the hygroscopic EDA vapours with the high levels of humidity in the air. This triggered the automatic fire detection system (smoke detector) and activated a water curtain on the southern wall of the building. The water from the water curtain precipitated the vapours and diluted the leaked EDA (high water solubility).
Some of the water from the water spraying system, which was slightly contaminated with ethylenediamine (&lt; 0.1%), flowed over the containment system and passed onto unsurfaced ground.
Safety measures:The fire detection system operated correctly, as did the water curtain; the watertight barrier (shutting off access to the collection area) was closed at the gate, as was the valve in the sewer system; the water curtain was used for a period of time to precipitate the last of the vapours; the water supply was then turned off.The contaminated run-off water was not fully contained, flowing over the safety barrier / containment system in one area.",FALSE,FALSE,FALSE,FALSE,"gas/vapour/mist/etc release to air
fluid release to ground",,,,,,,,,P5c. FLAMMABLE LIQUIDS cat. 2 or 3 not covered by P5a and P5b,"When removing a pallet with EDA in metal drums, a metal drum was damaged with a forklift.",,other,,,,"Causes - Plant/Equipment
Causes - Organisational","Provision of information and training for employees.
The existing containment volume was reviewed. Additional raised edges for diverting liquids into the secondary containment system were installed in order, for example, to allow for the safe discharge of contaminated water from the water curtain in the event of a leaking container."
1193,Major Accident,Chemical installations - chlorine,Leak of 3.4 t of gaseous vinyl chloride over a period of 5 hours.,FALSE,FALSE,FALSE,FALSE,gas/vapour/mist/etc release to air,gas/vapour/mist/etc release to air,,,,,,,,P2. FLAMMABLE GASES cat. 1 or 2,"The incident occurred when the safety valve of the degassing circuit opened due to a lack of air. This option is based on a historical risk analysis and without experience of the valve opening accidentally. Congestion formed as a result of the humidity in the distribution system of the valve and a temperature of -3°C, thereby limiting the passage of air. ; The operator had not realised that the valve could cause releases of VCM into the air, except as part of its safety functions.
The release continued for 5 hours, because the valve responsible for it was not identified immediately. This valve is not equipped with a discrepancy alarm (difference between order and actual status). Furthermore, its exhaust is not fitted with the means to measure outgoing VCM. The operating team assumed that leaks from the valves of two autoclaves were the cause of the release of VCM. They interpreted the low readings on the gas meter as being caused by failure of the compressor by-pass valves. The operating team misinterpreted the incident because of incomplete instructions and a lack of information on the screens in the control room and on the schematic diagrams available on the process monitoring software.
Furthermore, the site’s standby staff was not immediately informed of the ongoing incident. The risk analysis for the site does not identify a scenario in which VCM is released on the degassing line.",component/machinery failure/malfunction,operator error,"organized procedures
process analysis
design of plant/equipment/system
user-unfriendliness (apparatus, system, etc.)
installation
testing/inspecting/recording",,,"Causes - Plant/Equipment
Causes - Human
Causes - Organisational
Other","The operator will make all the operating teams aware of this incident and of the action plan prepared on the basis of the cause-consequence analysis made after the incident. In particular, it intends to:

check ‘sensitive’ equipment capable of causing VCM to be released into the atmosphere, carry out a HAZOP analysis of the systems in which they are integrated, set in place specific monitoring of this equipment and systematically launch an incident report if there is a malfunction involving this equipment. Additional actions may be identified on completion of the HAZOP analysis, such as checking that the equipment is used in accordance with suppliers’ recommendations;
make the operating teams aware of the need to carry out incident reporting and use the lessons learned from this incident to make recommendations for the future;
add alarms on valves that may lead to a release of VCM;
review and create different ‘alarm data sheets’ to cover situations that, until now, have rarely or never occurred on the site.
standardise the process monitoring software in order to identify potential failures more easily;
add information on the schematic diagrams and on the screens in the control room;
update the procedure for alerting the site’s standby staff.
"
1194,Major Accident,Chemical installations - chlorine,"An isocyanate (HDI) production facility at a chemical plant was restarted after being shutdown for disassembly/cleaning due to being clogged with dirt. At 02:55, there was a leak of phosgene, a toxic gas used as a raw material, within the pressure equipment containment chamber.",FALSE,FALSE,FALSE,FALSE,gas/vapour/mist/etc release to air,gas/vapour/mist/etc release to air,,,,,,,,H2. ACUTE TOXIC  cat. 2 or 3 (n. 7),"The leak occurred at the location of the connecting flange of a relief valve, upstream of the phosgenation reactor. The valve seal had been incorrectly reassembled after cleaning. A nitrogen leak test carried out prior to restart had not revealed any problems. Inspection showed that the graphite strip over 30 ;mm of the circumference of the upstream seal was missing. The seal's external centering ring, caught in the threading of the bolting system, was found to have buckled slightly. This damage was caused by the seal being damaged when being fitted during reassembly. Checking had been inadequate. At the same time, the large door airlock seal had leaked because it was old and in frequent use, in particular in order to bring in equipment and material, as there was no dedicated airlock for these.",component/machinery failure/malfunction,operator error,"training/instruction
supervision
process analysis
design of plant/equipment/system
installation
testing/inspecting/recording",,,"Causes - Plant/Equipment
Causes - Human
Causes - Organisational","The valve was changed and qualification-tested again. The main door bolts (20 of the 460 bolts were found to be loose) and the inflatable seals of the 2 related airlocks (dried out or corroded) were replaced. All the openings of the containment chamber were checked.
The operator made improvements to the formal procedure for testing equipment after cleaning: systematic acceptance of the work carried out by subcontractors, systematic helium leak testing of the valve.
The graphite seal technology was changed (from B29 to spiral type). Awareness and other training was organised for subcontractors (identification and tracking of seals). The chamber is to be pressure-tested every time the large door to the chamber is opened. ; The bolts were replaced with non-deformable bolts."
1195,Near Miss,Petrochemical / Oil Refineries,"On 23/3/19 there was a ;loss of 20 m3 crude oil from a By-pass line (deadleg) on the De-salter. There was no ignition of the crude oil released. There were no injuries.
The Crude was preheated to 110'C and the pressure in the main line was 8 Bar.
The ;14” diameter by-pass line was fitted with a single isolation valve which was closed in normal use – it is only opened as part of start-up and shut-down activities for flushing at turnaround. This means that in normal use this de-salter by-pass line is a dead-leg. This deadleg already had 2 temporary repairs (clamps). The leak occurred at one end of ;one of these mechanical clamp repairs. ;",FALSE,FALSE,FALSE,FALSE,,fluid release to ground,,not known / not applicable,,not known / not applicable,,,,"P5a. FLAMMABLE LIQUIDS cat. 1, or 2/3 above boiling point (n. 12)","Pipework ;at ;site  ;has been in service for more than 50 years. The loss occured at the edge of a mechanical repair clamp on a By-pass line (deadleg) on the De-salter. The leak occured through a hole about 20mm diameter (but that this was ~60% obstructed by the clamp so hole ~12.8mm).
The Loss of Containment (LOC) was caused by internal corrosion of the pipe. ;
The Bypass line (deadleg) ;could not be isolated and the leak continued for 8 hours. Primary isolation of the leak took 3 hours. There were no automated valve or remotely operated shut off valves (ROSOVs) available on the crude oil pipelines.","vessel/container/containment-equipment failure
corrosion/fatigue",not known / not applicable,"design of plant/equipment/system
testing/inspecting/recording",not known / not applicable,,"Causes - Plant/Equipment
Causes - Organisational
Emergency Response","Risk assessment of deadlegs now includes susceptability (e.g. if clamps fitted to deadlegs)
Identification of deadlegs that can be removed
Desalter shutdown procedures
Emergency response - further training and revision of procedures"
1196,Major Accident,Production of basic organic chemicals,"The accident took place on an internal railway line inside the establishment, on a parked wagon containing methanol (finished product from the site) which was to be shipped in the following days. The operator visually checked the railway tank wagon, including the vent. The operator noticed irregularities and tried to correct them. The methanol stream hit the operator. The operator quickly closed the tank vent.",FALSE,FALSE,FALSE,FALSE,fluid release to ground,fluid release to ground,,,,,rail,rail,,00. NAMED SUBSTANCE,Inappropriate control and verification manoeuvres carried out at the CF tank (railway tank wagon on the railway line inside the establishment) located on line 1. The victim’s negligence produced the accident. Manoeuvres carried out by the victim were inappropriate. The correct procedure was not followed.,,operator error,,,,Causes - Human,Retraining of staff with regard to operational guidelines and the use of equipment.
1200,Major Accident,Petrochemical / Oil Refineries,"The event took place in the installation for low-pressure ethylene polymerisation in hexane suspension, used to obtain high-density polyethylene. At the time of the event, the following sections were in operation: hexane recuperation/purification, reaction, powder separation/drying, and (in preparation for start-up) the granulation section. During the granulation process, polymer granules are obtained via extrusion of stabilised polymer powder, to prevent its degradation.",FALSE,FALSE,FALSE,FALSE,gas/vapour/mist/etc release to air,gas/vapour/mist/etc release to air,"flash fire (burning vapour cloud, subsonic flame front)","flash fire (burning vapour cloud, subsonic flame front)",,,,,,07 a. HIGHLY FLAMMABLE - note 3(b)(1),"The fire was caused by the accidental entry of hexane along with the polyethylene powder into section 400 (granulation hall) and its ignition as a result of the potential sources in that area (motors, cans, lighting appliances).Accidental entry of hexane, together with the polyethylene powder, into the granulation section, migration of hexane from the storage system inside the hall via leaks in the system (guillotine valves, dynamic equipment seals, flanged joints etc.) and its ignition following contact with one of the aforementioned sources, most likely a vibrating sieve electric motor.The fire erupted amid installation restarting manoeuvres following a stoppage of approximately two weeks due to a lack of utilities.Postponing the stoppage decision in the absence of other technical options for continuing operation, on the basis of a situation which, according to specialists, has not been previously notified in similar installations in Romania or abroad.The staff involved in taking that decision are qualified staff, with appropriate training and with experience in the activity carried out (head of the exchange section, head of the HDPE installation, head of training).",vessel/container/containment-equipment failure,operator error,"organized procedures
training/instruction",,,"Causes - Plant/Equipment
Causes - Human
Causes - Organisational","
Supplementing job descriptions by adding responsibilities related to stopping installations in the event of an emergency and drafting the instruction ‘Responsibilities in the operational control of RP installations’.
Retraining staff (work instructions, job descriptions) and verifying the acquired skills.
Installing a guillotine valve at the entry to Z 303, necessary because liquid hexane passes through the dispenser even when the dispenser is off; and placing a test spigot near the dispenser.
Moving the distribution control system into the Control Centre Room building to optimise process control by the head of the exchange section.
Setting up a drainage system at the lowest point of the transport line.
Implementing a staff operational readiness programme.
Drafting an action plan to raise awareness of safety culture.
"
1201,Major Accident,Petrochemical / Oil Refineries,"Sealing operation 313 V-V1 was scheduled for 17 October 2009, with a view to emptying the installation. A working permit was issued for the sealing, starting at 10 a.m., and the security measures for the works were considered to have been followed. The contractors, three workers from the company UMD, had started the works when they smelled H2S. When they communicated this fact to the installation foreman, he assured them that they were not in danger. Although they looked for gas masks in the installation, they did not find them and continued working. When the pipe flanges (Dn 150) were removed, the workers were immediately exposed to highly concentrated H2S and poisoned. The foreman, trying to save the workers, was exposed to H2S at a higher concentration and for a longer time, resulting in his death. The refinery’s own medical service intervened promptly to save the victims, who were then treated by the Constanța County Emergency Services. After a three-day hospitalisation, the three workers made a full recovery.",FALSE,FALSE,FALSE,TRUE,gas/vapour/mist/etc release to air,gas/vapour/mist/etc release to air,,,,,,,,"02. TOXIC
07 b. HIGHLY FLAMMABLE - note 3(b)(2)
09 i. DANGEROUS FOR THE ENVIRONMENT - R50
00. NAMED SUBSTANCE","Even though they detected the presence of H2S during the sealing operation, both the foreman and the workers minimised the risk of poisoning and continued working. The operation was not included in the works programme, which is why there was no preparation. .",other,operator error,"management organization inadequate
organized procedures
training/instruction
staffing",,,Causes - Human,"
Equipping the installation staff with gas detectors.
All the steps involved in revision works will be included in an Action Plan.
Respecting the security measures provided for in working permits and sealing/unsealing permits.
Local chemical emergency drills (what to do and how to save the victims) - monthly.
Processing the accident with the entire company staff.
"
1205,Near Miss,Petrochemical / Oil Refineries,"On 22 November 2019 at 23:28, alarms signalling a high level in a tank for recovered oil were received in the offsite control room.The tank contains recovered oil from the facility's water treatment plant. Shortly after, alarms from gas and hydrogen sulphidedetectors were received from a biofilm plant, located approximately 70 metres from the tank. The gas readings quicklyincreased to 100% of the lower explosion limit and up to 40 ppm hydrogen sulphide. The experience in the control roomwas that the situation developed very quickly, was difficult to understand and that it was out of control. The firstassessment was that the tank was overflowing, but ; no pumps delivering to the tank were running at thetime. The evacuation alarm was activated. Within three to four minutes the gas alarms cleared, and the tank level wasnormalised. Emergency preparedness personnel were quickly mobilised. Smoke divers did not find any traces of oil spillwhen searching around the tank. The temperature in the tank was examined using a thermal camera, and smoke diversturned off the steam supply using valves at the tank. The thermal camera showed gas/steam rising upwards from thetank. The situation gradually normalised, and the ‘danger over’ signal was sounded at approximately 01:00 the nextmorning.",FALSE,FALSE,FALSE,FALSE,gas/vapour/mist/etc release to air,gas/vapour/mist/etc release to air,,,,,,,"This incident did not cause a fire, release or an explosion, but the incident is classified with the highest degree of seriousness under slightly changed circumstances, by an internal investigation commission.","P2. FLAMMABLE GASES cat. 1 or 2
00. NAMED SUBSTANCE","The direct cause was sudden boiling with phase transition and foaming (slopover) in the tank due to overheating. Parts of an emulsion layer in the tank was dissolved due to ; high temperature ;in the underlying water zone. A rapid transfer of heat took place as oil and water from the hot emulsion layer and from ;the water zone mixed with the oil layers resulting in boiling in the oil phase. This initiated foaming and release of gas. This ;is a process that can occur in oil tanks containing a water phase and heat supply.
There are many underlying causes:

Lack of barriers. Some barriers (for example automatic temperature control on the tank) had been removed without proper MOC in earlier modifications. Inadequate risk assessment of changes ; and inadequate hazop and follow up of hazop.
Loss of competency, knowledge and understanding of risks associated to the specific operation.
Personnel acceptance of deviations as being ""normal"" (temperature alarms in control room not trusted, believed to be unreliable)
Introduction of new type of waste to the water treatment tank (containing more lighter hydrocarbons than before) without ;assessment of the increased risk.
",unexpected reaction/phase-transition,,"training/instruction
staffing
design of plant/equipment/system
other",,,"Causes - Plant/Equipment
Causes - Human","Based on the cause of the incident, recommendations ; have been given:
- Need for improved Process knowledge, ;improvements in training of personnel, ;updating of documentation,- Improvement of technical safety barriers to prevent similar incidents,- The need for gas detection in the area in question,- Zero tolerance regarding acceptance of deviations as being ""normal"",- Risk assessment of operational changes,- Increased quality in HAZOP reviews and closure of findings."
1206,Major Accident,Chemical installations ,"At around 07:30 on 15 May 2020, a fire broke out in a production tower on site.The automatic safety devices immediately triggered an alarm. The fire brigade and emergency services promptly arrived on site. The site was evacuated.
The fire detection system (Brandmeldeanlage - BMA) triggered the deployment of the barriers for the fire-fighting water and the pumping out of the fire-fighting water.",FALSE,FALSE,FALSE,FALSE,fluid release to ground,,conflagration (a general engulfment fire),,,,,,,P5c. FLAMMABLE LIQUIDS cat. 2 or 3 not covered by P5a and P5b,"The cause was the combination of insufficient conductivity of the medium to be drawn off with an inadequate earthing when the solvent-containing medium was manually drawn off into a container.This led to electrostatic supercharging and then discharging, which ignited the explosive atmosphere that had been building up constantly in the course of the drawing off.",other,,,,,"Causes - Plant/Equipment
Emergency Response","A comprehensive action plan to improve safety at the facility has been drawn up, with input and inspection from recognised experts, including examination of the earthing system used. Measures to ensure sufficient conductivity of the solvent-containing media to be drawn off. Overhaul and adaptation of explosion protection/risk assessment. Overhaul of the training system with regard to explosion protection."
